,X_pan,X_pitch,X_mainVol,X_expression,X_velocity,X_ovVol,Y_pan,Y_pitch,Y_mainVol,Y_expression,Y_velocity,Y_ovVol,Diff_timing(MicroSeconds),Diff_timing(Beats),Diff_pitch,Diff_freq,Diff_pan,Diff_mainVol,Diff_expression,Diff_velocity,Diff_ovVol,Diff_octave,Diff_program(group),X_panClassification,Y_panClassification,HasDiff_timing,HasDiff_program,HasDiff_pan,HasDiff_pitch,HasDiff_ppp,HasDiff_ovVol,HasDiff_octave,X_panIsCenter,Y_panIsCenter,X_hasPitchBend,Y_hasPitchBend
X_pan,1.0,0.00956463135661777,,,-0.04640838015369733,-0.04640838015370908,-0.1832871013269793,-0.06485113292447105,,,-0.029916145343131462,-0.02991614534312148,0.0008696080174286914,0.023018042077361935,-0.07349536666418252,-0.11364768434622685,-0.752514207700349,,,0.021719792931383645,0.02171979293138326,0.026686656335234937,0.060672041202450636,0.9699707666553238,-0.18573977188142834,0.0076514146712667545,0.03790072943710462,-0.1522407958705462,-0.007704120852414215,-0.06614522534795136,0.06990946132735604,0.027046555236567658,-0.06809243715175478,-0.05802708837675143,0.026878938105945566,-0.023979865678122072
X_pitch,0.00956463135661777,1.0,,,0.01912869966982972,0.01912869966982714,-0.04261556006183098,0.48371980072113313,,,0.016118485800765962,0.01611848580076489,0.03495255151743884,0.016550349607414173,-0.5009513547855093,-0.3291000568038395,-0.034572319250635794,,,-0.003643167004591789,-0.0036431670045916826,-0.0066863423742414664,0.013982097922208779,0.00808722699730107,-0.042226639815113244,0.014999844627349922,0.02249370818071798,0.031160114312714243,0.008065444227251927,0.021710249835950393,-0.00260502871193792,-0.030060621347305423,-0.042046136303202225,-0.05474385869329857,-0.07750735084657287,-0.06207142427205621
X_mainVol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_velocity,-0.04640838015369733,0.01912869966982972,,,1.0,0.99999999999997,-0.014502825918979358,0.010338535747395806,,,0.740188473886835,0.7401884738868606,-0.04081234860990352,-0.0820377148283734,-0.008509033588174713,0.015045094292259746,0.019508740907976208,,,-0.33406045355315994,-0.33406045355314984,-0.018753401860195116,0.15308010352449766,-0.042871038162359286,-0.007156910256616829,-0.07945400272071075,0.1679322841267286,-0.004620286301428007,-0.04019284948873321,0.038627791173911886,-0.38204217431037685,-0.019891275126891164,0.06404817943336724,0.040430326453524124,-0.07620481410147648,-0.03847442797741285
X_ovVol,-0.04640838015370908,0.01912869966982714,,,0.99999999999997,1.0,-0.014502825918988443,0.010338535747394077,,,0.7401884738868653,0.7401884738868633,-0.04081234860991762,-0.0820377148283804,-0.008509033588174779,0.015045094292256781,0.01950874090797711,,,-0.3340604535531638,-0.33406045355314756,-0.018753401860198575,0.15308010352449972,-0.042871038162371485,-0.007156910256626917,-0.0794540027207204,0.16793228412673353,-0.004620286301430725,-0.04019284948873236,0.038627791173917125,-0.3820421743103805,-0.01989127512689354,0.06404817943337669,0.04043032645353641,-0.07620481410148018,-0.0384744279774157
Y_pan,-0.1832871013269793,-0.04261556006183098,,,-0.014502825918979358,-0.014502825918988443,1.0,0.01195579178079506,,,-0.026994997161700514,-0.026994997161690015,-0.035875890560551675,-0.012213999911008574,0.053555370508364696,0.08971409003770442,0.7853455080302448,,,-0.017948256411786764,-0.01794825641178632,-0.03167947442283657,0.07539838558437452,-0.17037745709469582,0.9759604137189605,-0.007344993514186555,0.054020170382161746,-0.16762364897845053,9.9993747921387e-05,-0.0683682283751569,0.07398556082905564,0.04394480973531351,-0.03821344087835603,-0.037624487663767886,0.007564511605437461,0.04108324139003771
Y_pitch,-0.06485113292447105,0.48371980072113313,,,0.010338535747395806,0.010338535747394077,0.01195579178079506,1.0,,,0.01179315157171592,0.011793151571714955,0.03819698708737296,0.0061525334100908,0.5151638511193287,0.3826094226472854,0.048847902158077064,,,0.0023506082597426654,0.002350608259742726,0.008283784465054182,0.028851577635259303,-0.059659349541788566,0.008719764256668592,-0.015413912246742635,0.03669453874418424,0.06194802717524751,-0.02118594600747511,0.013886399407526442,0.015748308765897202,-0.0179436411889232,-0.0713035677258057,-0.07256951895086998,-0.04817207718721819,-0.09572542649704245
Y_mainVol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_expression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_velocity,-0.029916145343131462,0.016118485800765962,,,0.740188473886835,0.7401884738868653,-0.026994997161700514,0.01179315157171592,,,1.0,1.0000000000000533,-0.07376728020172836,-0.10611087825081075,-0.004122764029144461,0.01462545196940287,0.0007543413842836539,,,0.3865035158549389,0.3865035158549123,0.01757026826621542,0.18252647198028735,-0.023150096374741375,-0.022364074574648243,-0.10322384721810429,0.20064340667953806,-0.008921117901274169,-0.04009492822705777,0.05124935216979125,-0.42473321378947804,0.003952743376758043,0.035025342812437285,0.05399379738829857,-0.04432011156496776,-0.06226520413605017
Y_ovVol,-0.02991614534312148,0.01611848580076489,,,0.7401884738868606,0.7401884738868633,-0.026994997161690015,0.011793151571714955,,,1.0000000000000533,1.0,-0.07376728020173073,-0.10611087825081357,-0.004122764029144651,0.014625451969401399,0.0007543413842855605,,,0.3865035158549205,0.38650351585492365,0.017570268266213405,0.18252647198028385,-0.023150096374731702,-0.02236407457463691,-0.10322384721810725,0.20064340667955355,-0.008921117901278561,-0.04009492822704967,0.05124935216979092,-0.42473321378948686,0.0039527433767604404,0.035025342812432476,0.05399379738829124,-0.04432011156495941,-0.06226520413604097
Diff_timing(MicroSeconds),0.0008696080174286914,0.03495255151743884,,,-0.04081234860990352,-0.04081234860991762,-0.035875890560551675,0.03819698708737296,,,-0.07376728020172836,-0.07376728020173073,1.0,0.8842056817011239,0.0035431110351040306,-0.0003752143526460191,-0.024581767781383303,,,-0.04742528407893473,-0.047425284078934905,-0.0016566759767516277,-0.12588423549222957,0.004356704705482776,-0.02698651542879582,0.7153310666206704,-0.11454944916195141,0.11704558664976657,0.0002942871042956723,0.009157633083903596,0.18832392273680568,0.038223619876138794,-0.047816752501153074,-0.10351084992407107,-0.08033112336286269,0.01129277359499287
Diff_timing(Beats),0.023018042077361935,0.016550349607414173,,,-0.0820377148283734,-0.0820377148283804,-0.012213999911008574,0.0061525334100908,,,-0.10611087825081075,-0.10611087825081357,0.8842056817011239,1.0,-0.010123479142098542,-0.018128983141284992,-0.0226775135755502,,,-0.03621744314836104,-0.03621744314835845,-0.0012942677983783367,-0.12589088847684643,0.020432549031966125,-0.00946653731970643,0.8058949906742815,-0.12242775694209576,0.06536796476128759,0.001489104028455556,0.00020207771031669568,0.21704697894707836,0.08117242811334453,-0.010697616305339714,-0.05319616526741305,-0.09293508701711363,0.01750913365609343
